,text,start,duration,end
501,"So we've defined the method here, distance.",1457.84,3.382,1461.222
502,So this is in the class definition.,1461.222,1.458,1462.68
503,Now how do we use it?,1462.68,2.49,1465.17
504,So let's assume that the definition of distance,1465.17,2.95,1468.1200000000001
505,is up here.,1468.12,0.88,1469.0
506,I didn't include the code.,1469.0,3.32,1472.32
507,But really all you need to know is what it takes.,1472.32,2.24,1474.56
508,It takes a self and an other.,1474.56,2.5,1477.06
509,So when you want to use this method,1477.06,2.43,1479.49
510,"to figure out a distance between two coordinate objects,",1479.49,2.64,1482.13
511,this is how you do it.,1482.13,1.36,1483.49
512,"So the first line, I create one coordinate object.",1483.49,3.62,1487.11
513,"Second line, I create another coordinate object.",1487.11,3.21,1490.32
514,"First one is named C, the second one is named 0.",1490.32,2.31,1492.6299999999999
515,These are two separate objects.,1492.63,3.26,1495.89
516,And I'm going to find the distance.,1495.89,4.52,1500.41
517,"And I want to first call it on one object,",1500.41,2.99,1503.4
518,"so I'm going to say C dot, so I'm using the dot notation",1503.4,3.94,1507.3400000000001
519,to call the method distance on object C.,1507.34,7.4,1514.74
520,So Python says this object C is of type coordinate.,1514.74,3.384,1518.124
521,It's going to look up at the class,1518.124,1.416,1519.54
522,coordinate that you defined.,1519.54,1.23,1520.77
523,It's going to find this method called distance,1520.77,2.58,1523.35
524,and then it's going to say what parameters does it take?,1523.35,2.94,1526.29
525,"So it takes another parameter, right, for the other",1526.29,3.33,1529.62
526,"and then, in the parentheses, I just",1529.62,2.07,1531.6899999999998
527,have to give it this other perimeter.,1531.69,3.9,1535.5900000000001
528,An easier way to see what happens,1535.59,2.28,1537.87
529,is by looking at what this line here is equivalent to.,1537.87,5.04,1542.9099999999999
530,So the third line here prints C dot,1546.0,2.56,1548.56
531,distance 0 is equivalent to this one on the right.,1548.56,3.099,1551.6589999999999
532,And this one on the right essentially,1551.659,1.541,1553.2
533,"says, what's the name of the class,",1553.2,4.42,1557.6200000000001
534,"dot, dot notation, what's the method you want to call,",1557.62,4.06,1561.6799999999998
535,and then in parentheses you give it,1561.68,2.22,1563.9
536,all of the variables including self.,1563.9,2.43,1566.3300000000002
537,OK.,1566.33,0.6,1566.9299999999998
538,So in this case you're explicitly telling Python,1566.93,2.82,1569.75
539,that self is C and other is 0.,1569.75,6.28,1576.03
540,"So this is a little bit easier to understand, like that.",1576.03,6.05,1582.08
541,But it's a little cumbersome because you always,1582.08,3.24,1585.32
542,"have to write coordinate dot, coordinate dot, coordinate dot,",1585.32,2.58,1587.8999999999999
543,for every data attribute you might want,1587.9,1.625,1589.525
544,"to access, for every procedural attribute you",1589.525,2.105,1591.63
545,might want to access.,1591.63,2.48,1594.1100000000001
546,"So by convention, it's a lot easier",1594.11,2.85,1596.9599999999998
547,to do the one on the left.,1596.96,3.05,1600.01
548,"And as I mentioned, Python implicitly says,",1600.01,2.85,1602.86
549,"if you're doing the one on the left,",1602.86,2.63,1605.49
550,you can call this method on a particular object,1605.49,2.41,1607.9
551,and it's going to look up the type of the object,1607.9,2.0,1609.9
552,and it's going to essentially convert this on the left,1609.9,3.0,1612.9
553,to the one on the right.,1612.9,1.941,1614.8410000000001
554,And this is what you've been using so far.,1614.841,1.749,1616.59
555,"So when you create a list, you say L is equal to 1, 2,",1616.59,3.03,1619.62
556,"and then you say L.append, you know, 3 or whatever.",1619.62,5.54,1625.1599999999999
557,So we've been using this notation on the left,1625.16,4.52,1629.68
558,pretty much from the beginning of class.,1629.68,4.56,1634.24
559,"So we have a coordinate class, we",1634.24,3.04,1637.28
560,"can create a coordinate object, we",1637.28,1.83,1639.11
561,can get the distance between two objects.,1639.11,3.006,1642.116
562,"As you're using the class, if you",1642.116,1.374,1643.49
563,"wanted to use this coordinate class,",1643.49,2.37,1645.86
564,"and you were maybe debugging at some point, a lot of you",1645.86,3.72,1649.58
565,"probably use print as a debug statement, right?",1649.58,2.58,1652.1599999999999
566,And maybe you want to print the value of a coordinate object.,1652.16,5.639,1657.799
567,"So if you create a coordinate object,",1657.799,1.541,1659.34
568,"C is equal to coordinate 3, 4, right?",1659.34,2.28,1661.62
569,That's what we've done so far.,1661.62,1.78,1663.3999999999999
570,"If you print C, you get this funny message.",1663.4,4.7,1668.1000000000001
571,"Very uninformative, right?",1668.1,1.47,1669.57
572,"It basically says, well, C is an object of type",1669.57,4.23,1673.8
573,coordinate at this memory location in the computer.,1673.8,6.489,1680.289
574,"Which is not what you wanted at all, right?",1680.289,1.791,1682.08
575,Maybe you wanted to know what the values for x and y were.,1682.08,2.91,1684.99
576,That would be a lot more informative.,1684.99,3.2,1688.19
577,"So by default, when you create your own type, when",1688.19,6.07,1694.26
578,"you print the object of that type,",1694.26,1.56,1695.82
579,Python tells you this sort of information,1695.82,1.8,1697.62
580,which is not what you want.,1697.62,2.05,1699.6699999999998
581,So what you need to do is you need,1699.67,1.52,1701.19
582,to define your own method that tells,1701.19,3.0,1704.19
583,Python what to do when you call print,1704.19,3.27,1707.46
584,on an object of this type.,1707.46,3.54,1711.0
585,"So this is going to be a special method, just",1711.0,3.21,1714.21
586,"like init is, because it starts and ends",1714.21,2.55,1716.76
587,with double underscores.,1716.76,2.89,1719.65
588,"And the name of the method is underscore, underscore, str,",1719.65,3.05,1722.7
589,"underscore, underscore.",1722.7,1.68,1724.38
590,"And if you define this method in your class, that tells Python,",1724.38,4.17,1728.5500000000002
591,"hey, when you see a print statement that's",1728.55,2.46,1731.01
592,"on an object of type coordinate, call this method,",1731.01,3.24,1734.25
593,"look what it does, and do everything that's inside it.",1734.25,4.5,1738.75
594,And you can choose to make it do whatever you want,1738.75,3.69,1742.44
595,inside your definition of str.,1742.44,3.48,1745.92
596,"In this case, let's say when we print a coordinate object,",1745.92,2.7,1748.6200000000001
597,we're going to print its x and y values surrounded,1748.62,2.67,1751.29
598,by angle brackets.,1751.29,1.83,1753.12
599,"That seems reasonable, right?",1753.12,1.83,1754.9499999999998
600,"So then from now on when you print coordinate objects,",1754.95,5.29,1760.24
601,"you're going to see things like this, which",1760.24,1.85,1762.09
602,is a lot more informative.,1762.09,3.57,1765.6599999999999
603,So how do we define this?,1765.66,1.97,1767.63
604,So so far we've defined all that and the last part,1767.63,4.98,1772.6100000000001
605,is going to be new.,1772.61,2.42,1775.03
606,"So we define the init and the distance,",1775.03,2.12,1777.1499999999999
607,and let's define this str.,1777.15,1.185,1778.335
608,"So underscore, underscore, str, underscore, underscore, is",1782.17,3.66,1785.8300000000002
609,a method.,1785.83,1.94,1787.77
610,It's only going to take self because you're just calling,1787.77,3.29,1791.06
611,print on the object itself.,1791.06,2.97,1794.03
612,There's no other parameters to it.,1794.03,3.52,1797.55
613,"Str has to return a string, and in this particular case,",1797.55,5.55,1803.1
614,we're going to return the string that's,1803.1,2.28,1805.3799999999999
615,"the angle brackets concatenated with the x value of the object,",1805.38,4.66,1810.0400000000002
616,"self.x, concatenated with a comma,",1810.04,3.32,1813.36
617,concatenated with the y value of this particular instance,1813.36,3.72,1817.08
618,"of an object, self.y, and then concatenated",1817.08,2.885,1819.965
619,with the angle brackets.,1819.965,1.0,1820.965
620,So now any time you have print on an object of type,1823.72,2.79,1826.51
621,"coordinate, you're going to call this special method str,",1826.51,3.15,1829.66
622,if it's implemented in your code.,1829.66,2.82,1832.48
623,Any questions?,1832.48,0.75,1833.23
624,OK.,1837.57,0.5,1838.07
625,So let's try to wrap our head around types and classes,1841.46,4.775,1846.2350000000001
626,because we've seen a lot today.,1846.235,1.291,1847.5259999999998
627,"Let's create a coordinate object,",1850.78,3.46,1854.24
628,"assign it 3, 4, as we have been, and assign it to variable C.",1854.24,6.05,1860.29
629,"We've implemented the str method, so when we print C,",1860.29,4.47,1864.76
630,it's going to print out this nice three comma for our angle,1864.76,2.67,1867.43
631,brackets.,1867.43,0.5,1867.93
632,"If we print the type of C, this is actually",1871.14,1.98,1873.1200000000001
633,"going to give us class main coordinate, which tells us",1873.12,4.43,1877.55
634,that C is going to be an object that,1877.55,10.22,1887.77
635,is of type class coordinate.,1887.77,2.794,1890.564
636,"If we look at coordinate as a class,",1893.37,4.13,1897.5
637,"if we print what coordinate is, coordinate is a class, right?",1897.5,2.82,1900.32
638,"So this is what Python tells us, if we print coordinate,",1900.32,2.52,1902.84
639,it's a class named coordinate.,1902.84,3.89,1906.73
640,"And if we print the type of a coordinate,",1906.73,1.75,1908.48
641,well that's just going to be a type.,1908.48,1.92,1910.4
642,So class is going to be a type.,1910.4,1.32,1911.72
643,So you're defining the type of an object.,1911.72,1.708,1913.428
644,If you'd like to figure out whether a particular object is,1916.77,5.18,1921.95
645,"an instance of a particular class,",1921.95,1.85,1923.8
646,you use this special function called is instance.,1923.8,3.28,1927.08
647,"So if you print is instance C comma coordinate,",1927.08,3.24,1930.32
648,this is going to print true because C is an object that,1930.32,3.39,1933.71
649,is of type coordinate.,1933.71,1.861,1935.5710000000001
650,Couple more words on these special operators.,1943.43,2.68,1946.1100000000001
651,So these special operators allow you,1946.11,1.61,1947.7199999999998
652,to customize your classes which can add some cool functionality,1947.72,4.05,1951.77
653,to them.,1951.77,1.64,1953.41
654,So these special operators are going,1953.41,3.39,1956.8000000000002
655,"to be things like addition, subtraction,",1956.8,2.91,1959.71
656,"using the equal equal sign, greater than, less than,",1959.71,2.43,1962.14
657,length and so on and so on.,1962.14,2.55,1964.69
658,"So just like str, if you implement",1964.69,3.45,1968.14
659,"any of these in your classes, this is going to tell Python.",1968.14,4.26,1972.4
660,"So for example, if we've implemented this underscore,",1972.4,3.91,1976.3100000000002
661,"underscore, add, underscore, underscore in our class,",1976.31,4.28,1980.59
662,this is going to tell Python when,1980.59,1.38,1981.97
663,you use this plus operator between two objects of type,1981.97,2.73,1984.7
664,coordinate to call this method.,1984.7,4.29,1988.99
665,If you have not implemented this method,1988.99,1.86,1990.85
666,"and you try to add two objects of type coordinate,",1990.85,2.22,1993.07
667,you're going to get an error because Python doesn't actually,1993.07,2.04,1995.11
668,know right off the bat how to add,1995.11,1.5,1996.61
669,"two coordinate objects, right?",1996.61,1.65,1998.26
670,You have to tell it how to do that.,1998.26,2.194,2000.454
671,And you tell it how to do that by implementing,2000.454,1.916,2002.37
672,this special method.,2002.37,3.99,2006.36
673,Same with subtract.,2006.36,0.99,2007.35
674,Same with equals.,2007.35,1.2,2008.55
675,So if you want to figure out whether two objects are equal.,2008.55,3.19,2011.74
676,"And when you implement these methods in your own class,",2011.74,3.44,2015.18
677,you can decide exactly what you want to do.,2015.18,4.024,2019.204
678,So what happens when you add two coordinate objects?,2019.204,2.166,2021.37
679,"Do you just add the x values, do you just add the y values,",2021.37,2.479,2023.849
680,"do you get them both together, do you",2023.849,1.541,2025.3899999999999
681,do whatever you'd like to do.,2025.39,2.82,2028.21
682,And then you document what you've decided.,2028.21,3.19,2031.4
683,So let's create a fraction object.,2031.4,2.856,2034.256
684,"So we've looked at coordinate, we",2034.256,1.374,2035.63
685,saw sort of a higher level car object.,2035.63,2.77,2038.4
686,Let's look at a fraction object.,2038.4,3.4,2041.8000000000002
687,"Fraction object is going to be, is",2041.8,3.0,2044.8
688,going represent a number that's going to be a numerator slash,2044.8,4.359,2049.159
689,denominator.,2049.159,2.241,2051.4
690,OK.,2051.4,0.5,2051.9
691,So that's going to be a fraction object.,2051.9,2.23,2054.13
692,So the way I've decided to internally represent a fraction,2054.13,3.68,2057.81
693,object is with two numbers.,2057.81,3.0,2060.81
694,And I've decided that I will not let them be floats.,2060.81,3.21,2064.02
695,"They have to be integers, hence the assert over here.",2064.02,5.69,2069.71
696,"So inside the init, I've decided I'm",2069.71,2.04,2071.75
697,"going to represent my fracture with two numbers, one",2071.75,5.969,2077.719
698,for the numerator and one for the denominator.,2077.719,4.161,2081.88
699,"So when I create a fraction object,",2081.88,1.58,2083.46
700,I'm going to pass in a numerator and a denominator.,2083.46,4.59,2088.05
701,And a particular instance is going,2088.05,3.0,2091.05
702,to have self dot numerator and self dot,2091.05,2.46,2093.51
703,denominator as its data attributes,2093.51,2.27,2095.78
704,and I'm assigning those to be whatever's passed into my init.,2095.78,4.215,2099.9950000000003
705,Since I plan on debugging this code maybe possibly sometime,2103.25,4.17,2107.42
706,"in the future, I'm also including an str method",2107.42,3.48,2110.9
707,and the str method is going to print a nice looking string,2110.9,9.45,2120.35
708,"that's going to represent the numerator, and then",2120.35,2.4,2122.75
709,"a slash, and then the denominator.",2122.75,3.816,2126.566
710,And then I've also implemented some other special methods.,2130.3,3.35,2133.65
711,How do I add two fractions?,2133.65,1.92,2135.57
712,How do I subtract two fractions?,2135.57,2.61,2138.1800000000003
713,And how do I convert a fraction to a float?,2138.18,4.23,2142.41
714,"The add and subtract are almost the same,",2142.41,1.71,2144.12
715,so let's look at the add for the moment.,2144.12,4.07,2148.19
716,How do we add two fractions?,2148.19,1.26,2149.4500000000003
717,"We're going to take self, which is the instance of an object",2152.52,6.89,2159.41
718,"that I want to do the add operation on,",2159.41,2.8,2162.21
719,"and we're going to take other, which",2162.21,1.5,2163.71
720,is the other instance of an object,2163.71,2.15,2165.86
721,"that I want to do the operation on, so the addition,",2165.86,3.27,2169.13
722,and I'm going to figure out the new top.,2169.13,2.22,2171.35
723,So the new top of the resulting fraction.,2171.35,3.81,2175.16
724,So it's my numerator multiplied by the other denominator,2175.16,4.95,2180.1099999999997
725,plus my denominator multiplied by the other numerator,2180.11,3.9,2184.01
726,and then divided by the multiplication of the two,2184.01,2.4,2186.4100000000003
727,denominators.,2186.41,2.4,2188.81
728,"So the top is going to be that, the bottom is going to be that.",2188.81,3.44,2192.25
729,"Notice that we're using self dot, right?",2192.25,2.7,2194.95
730,"Once again, we're trying to access",2194.95,1.53,2196.48
731,"the data attributes of each different instance,",2196.48,2.95,2199.43
732,"right, of myself and the other object that I'm working with.",2199.43,3.33,2202.7599999999998
733,So that's why I have to use self dot here.,2202.76,3.9,2206.6600000000003
734,"Once I figure out the top and the bottom of the addition,",2206.66,4.79,2211.45
735,"I'm going to return, and here notice I'm",2211.45,3.68,2215.1299999999997
736,returning a fraction object.,2215.13,3.06,2218.19
737,"It's not a number, it's not a float, it's not an integer.",2218.19,2.49,2220.68
738,It's a new object that is of the exact same type as the class,2220.68,3.21,2223.89
739,that I'm implementing.,2223.89,3.25,2227.14
740,"So as it's the same type of object,",2227.14,3.27,2230.41
741,then on the return value I can do,2230.41,1.894,2232.3039999999996
742,all of the exact same operations that I can do,2232.304,1.916,2234.2200000000003
743,on a regular fraction object.,2234.22,3.74,2237.9599999999996
744,Sub is going to be the same.,2237.96,1.627,2239.587
745,I'm returning a fraction object.,2239.587,1.333,2240.92
746,"Float is just going to do the division for me,",2244.25,6.08,2250.33
747,so it's going to take the numerator,2250.33,1.53,2251.86
748,"and then divide it by the denominator,",2251.86,2.49,2254.35
749,just divide the numbers.,2254.35,2.78,2257.13
750,And then I'm defining here my own method called inverse.,2257.13,5.66,2262.79
751,And this is just going to take the inverse of the instance I'm,2262.79,2.79,2265.58
752,calling this method on.,2265.58,1.68,2267.2599999999998
753,And so it's going to also return a new fraction object that just,2267.26,4.56,2271.82
754,has the denominator as the top part,2271.82,2.01,2273.8300000000004
755,and the numerator as the bottom part.,2273.83,1.701,2275.531
756,So then we have some code here.,2278.9,1.38,2280.28
757,So that's how I implement my fraction object.,2280.28,4.69,2284.9700000000003
758,So now let's use it and see what it gives us.,2284.97,3.07,2288.04
759,"A is equal to a fraction 1, 4.",2288.04,1.25,2289.29
760,This is going to be 1 over 4 for a.,2300.94,7.93,2308.87
761,And b is going to be 3 over four.,2308.87,2.73,2311.6
762,"When I do C, notice I'm using the plus operator between two",2315.24,6.16,2321.3999999999996
763,"fraction objects, right?",2321.4,1.53,2322.9300000000003
764,A and b are fraction objects so Python's,2322.93,2.25,2325.18
765,"going to say, OK, is there an underscore, underscore, add,",2325.18,3.579,2328.759
766,"underscore, underscore, method implemented?",2328.759,1.791,2330.55
767,It is and it's just going to do whatever's inside here.,2330.55,4.18,2334.73
768,So it's going to say self dot numerator plus other dot,2334.73,2.25,2336.98
769,denominator.,2336.98,0.982,2337.962
770,It's going to calculate the top and the bottom.,2337.962,1.958,2339.92
771,It's going to turn a new fraction object.,2339.92,1.736,2341.656
772,"So this is going to be 4 plus 12 divided by 16, and 16 over 16.",2345.47,21.63,2367.1
773,So C as a fraction object is going,2367.1,2.7,2369.7999999999997
774,to be 16 for the numerator and 16 for the denominator,2369.8,5.46,2375.26
775,because it's a fraction object.,2375.26,2.798,2378.058
776,"If I print C, it should print 16 over 16,",2383.89,2.4,2386.29
777,"so we can even run it, so print 16 over 16.",2386.29,4.47,2390.7599999999998
778,"If I print floats C, so this special method float here",2390.76,3.81,2394.57
779,"is going to say, is there a method that converts a fraction",2394.57,4.35,2398.92
780,to a float and there is.,2398.92,1.17,2400.09
781,It's this one implemented right here.,2400.09,2.139,2402.2290000000003
782,"So it's just going to divide the two numbers, top and bottom,",2402.229,2.541,2404.77
783,which gives me 1.,2404.77,2.25,2407.02
784,So it's this one here and here.,2407.02,3.7,2410.72
785,"Notice I'm doing the exact same method call,",2410.72,2.66,2413.3799999999997
786,except I'm doing it the other way where,2413.38,1.89,2415.27
787,"you type in the name of the class, name of the method,",2415.27,5.34,2420.61
788,"and then what you're calling it on,",2420.61,1.74,2422.35
789,"and this gives the exact same value here, 1.0.",2422.35,5.08,2427.43
790,And then here I'm calling the method inverse,2427.43,3.21,2430.64
791,on object B which is going to invert 3 over 4 to be 4 over 3.,2430.64,6.21,2436.85
792,And then I'm converting it to a float,2436.85,2.19,2439.04
793,and then I'm printing the value.,2439.04,1.38,2440.42
794,So it gives me 1.33.,2440.42,2.93,2443.35
795,So take a look at this code in more detail,2443.35,7.47,2450.8199999999997
796,and see if you can trace through all of those different things,2450.82,3.24,2454.06
797,and see if you can also write your own new fraction objects.,2454.06,3.5,2457.56
798,OK.,2457.56,0.7,2458.2599999999998
799,So last slide.,2458.26,2.1,2460.36
800,Power of object oriented programming,2460.36,2.37,2462.73
801,is that you can bundle together objects that,2462.73,2.01,2464.7400000000002
802,are of the exact same type.,2464.74,1.5,2466.24
803,And all of these objects are going,2466.24,1.44,2467.68
804,to have the same data representation,2467.68,2.04,2469.72
805,and the same methods that you can do on them.,2469.72,3.31,2473.0299999999997
806,"And ultimately, you're going to be building",2473.03,2.7,2475.73
807,these layers of abstraction.,2475.73,1.51,2477.2400000000002
808,So you're going to be building on a basic object type,2477.24,2.93,2480.1699999999996
809,"in Python, you're going to have integer objects, float objects.",2480.17,6.99,2487.16
810,"On top of those, you can create lists, dictionaries.",2487.16,2.946,2490.1059999999998
811,"And on top of those, you can even",2490.106,1.374,2491.48
812,create your own object types as we saw in this lecture today.,2491.48,5.6,2497.08
